,date,home,score,away_team
357,12-03-2023,Ajaccio,0 - 1,Montpellier
358,19-03-2023,Montpellier,2 - 1,Clermont
359,31-03-2023,Marseille,1 - 1,Montpellier
360,09-04-2023,Montpellier,? - ?,Toulouse
361,07-08-2022,Angers,0 - 0,Nantes
362,12-08-2022,Nantes,1 - 1,Lille
363,20-08-2022,Marseille,2 - 1,Nantes
364,28-08-2022,Nantes,3 - 1,Toulouse
365,31-08-2022,Strasbourg,1 - 1,Nantes
366,03-09-2022,Nantes,0 - 3,Paris SG
367,11-09-2022,Lorient,3 - 2,Nantes
368,18-09-2022,Nantes,0 - 0,Lens
369,02-10-2022,Monaco,4 - 1,Nantes
370,09-10-2022,Rennes,3 - 0,Nantes
371,16-10-2022,Nantes,4 - 1,Brest
372,23-10-2022,Nice,1 - 1,Nantes
373,30-10-2022,Nantes,1 - 1,Clermont
374,06-11-2022,Reims,1 - 0,Nantes
375,13-11-2022,Nantes,2 - 2,Ajaccio
376,28-12-2022,Troyes,0 - 0,Nantes
377,01-01-2023,Nantes,1 - 0,Auxerre
378,11-01-2023,Nantes,0 - 0,Lyon
379,15-01-2023,Montpellier,0 - 3,Nantes
380,29-01-2023,Clermont,0 - 0,Nantes
381,01-02-2023,Nantes,0 - 2,Marseille
382,05-02-2023,Ajaccio,0 - 2,Nantes
383,12-02-2023,Nantes,1 - 0,Lorient
384,19-02-2023,Lens,3 - 1,Nantes
385,26-02-2023,Nantes,0 - 1,Rennes
386,04-03-2023,Paris SG,4 - 2,Nantes
387,12-03-2023,Nantes,2 - 2,Nice
388,17-03-2023,Lyon,1 - 1,Nantes
389,02-04-2023,Nantes,0 - 3,Reims
390,09-04-2023,Nantes,? - ?,Monaco
391,07-08-2022,Toulouse,1 - 1,Nice
392,14-08-2022,Nice,1 - 1,Strasbourg
393,21-08-2022,Clermont,1 - 0,Nice
394,28-08-2022,Nice,0 - 3,Marseille
395,31-08-2022,Lille,1 - 2,Nice
396,04-09-2022,Nice,0 - 1,Monaco
